index,title,author,dynasty,content,favor
0,巴女词,李白,唐,十月三千里，郎行几岁归。巴水急如箭，巴船去若飞。,31.0
1,把酒问月,李白,唐,但见宵从海上来，宁知晓向云间没。人攀明月不可得，月行却与人相随。青天有月来几时？我今停杯一问之。今人不见古时月，今月曾经照古人。惟愿当歌对酒时，月光长照金樽里。白兔捣药秋复春，嫦娥孤栖与谁邻？古人今人若流水，共看明月皆如此。皎如飞镜临丹阙，绿烟灭尽清辉发。,400.0
2,灞陵行送别,李白,唐,古道连绵走西京，紫阙落日浮云生。上有无花之古树，下有伤心之春草。正当今夕断肠处，骊歌愁绝不忍听。我向秦人问路歧，云是王粲南登之古道。送君灞陵亭，灞水流浩浩。,359.0
3,黄鹤楼送孟浩然之广陵,李白,唐,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。,123.0
4,将进酒,李白,唐,与君歌一曲，请君为我倾耳听。陈王昔时宴平乐，斗酒十千恣欢谑。主人何为言少钱，径须沽取对君酌。五花马、千金裘，呼儿将出换美酒，与尔同销万古愁。天生我材必有用，千金散尽还复来。君不见黄河之水天上来，奔流到海不复回。岑夫子，丹丘生，将进酒，杯莫停。烹羊宰牛且为乐，会须一饮三百杯。人生得意须尽欢，莫使金樽空对月。古来圣贤皆寂寞，惟有饮者留其名。君不见高堂明镜悲白发，朝如青丝暮成雪。钟鼓馔玉不足贵，但愿长醉不复醒。,852.0
5,哀江头,杜甫,唐,江头宫殿锁千门，细柳新蒲为谁绿？少陵野老吞声哭，春日潜行曲江曲。明眸皓齿今何在？血污游魂归不得。忆昔霓旌下南苑，苑中万物生颜色。人生有情泪沾臆，江水江花岂终极！翻身向天仰射云，一笑正坠双飞翼。清渭东流剑阁深，去住彼此无消息。辇前才人带弓箭，白马嚼啮黄金勒。黄昏胡骑尘满城，欲往城南望城北。昭阳殿里第一人，同辇随君侍君侧。,193.0
6,哀王孙,杜甫,唐,窃闻天子已传位，圣德北服南单于。高帝子孙尽隆准，龙种自与常人殊。长安城头头白乌，夜飞延秋门上呼。问之不肯道姓名，但道困苦乞为奴。已经百日窜荆棘，身上无有完肌肤。豺狼在邑龙在野，王孙善保千金躯。花门剺面请雪耻，慎勿出口他人狙。哀哉王孙慎勿疏，五陵佳气无时无。昨夜东风吹血腥，东来橐驼满旧都。金鞭断折九马死，骨肉不得同驰驱。朔方健儿好身手，昔何勇锐今何愚。腰下宝玦青珊瑚，可怜王孙泣路隅。不敢长语临交衢，且为王孙立斯须。又向人家啄大屋，屋底达官走避胡。,940.0
7,八阵图,杜甫,唐,功盖三分国，名成八阵图。江流石不转，遗恨失吞吴。,8.0
8,别房太尉墓,杜甫,唐,他乡复行役，驻马别孤坟。对棋陪谢傅，把剑觅徐君。唯见林花落，莺啼送客闻。近泪无干土，低空有断云。,930.0
9,兵车行,杜甫,唐,边庭流血成海水，武皇开边意未已。且如今年冬，未休关西卒。道旁过者问行人，行人但云点行频。长者虽有问，役夫敢申恨？君不闻，汉家山东二百州，千村万落生荆杞。纵有健妇把锄犁，禾生陇亩无东西。耶娘妻子走相送，尘埃不见咸阳桥。县官急索租，租税从何出？君不见，青海头，古来白骨无人收。新鬼烦冤旧鬼哭，天阴雨湿声啾啾！生女犹得嫁比邻，生男埋没随百草。况复秦兵耐苦战，被驱不异犬与鸡。去时里正与裹头，归来头白还戍边。牵衣顿足拦道哭，哭声直上干云霄。或从十五北防河，便至四十西营田。信知生男恶，反是生女好。车辚辚，马萧萧，行人弓箭各在腰。,665.0
